o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set[o:id],o:item_set[dcterms:title],o:media[o:id],o:media[file],dcterms:title,dcterms:description,dcterms:identifier,dcterms:relation,dcterms:alternative,dcterms:isPartOf,bibo:pages,geonames:lat,geonames:long
3241,https://islam.zmo.de/s/westafrica/item/3241,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Abidjan,,"https://www.wikidata.org/wiki/Q1515 Q1515",,,"Ivory Coast",,5.35444,-4.00167
3242,https://islam.zmo.de/s/westafrica/item/3242,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Abomey,,"https://www.wikidata.org/wiki/Q189685 Q189685",,,Benin,,7.18286,1.99119
3243,https://islam.zmo.de/s/westafrica/item/3243,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Abomey-Calavi,,"https://www.wikidata.org/wiki/Q2473939 Q2473939",,,Benin,,6.44852,2.35566
3244,https://islam.zmo.de/s/westafrica/item/3244,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Adjarra,,"https://www.wikidata.org/wiki/Q2476120 Q2476120",,,Benin,,6.53445,2.66833
3245,https://islam.zmo.de/s/westafrica/item/3245,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,10472,https://islam.zmo.de/files/original/ad22f02d1828defd050238be9acbd754eaa8352b.png,Algeria|Algérie,,"https://www.wikidata.org/wiki/Q262 Q262",,,Country,,28,3
3246,https://islam.zmo.de/s/westafrica/item/3246,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Allada,,"https://www.wikidata.org/wiki/Q960239 Q960239",,,Benin,,6.66547,2.15138
3247,https://islam.zmo.de/s/westafrica/item/3247,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,10473,https://islam.zmo.de/files/original/aa95d7c57dc739e7fedd6bac0142538768224cc9.png,Germany|Allemagne,,"https://www.wikidata.org/wiki/Q183 Q183",,,Country,,51.5,10.5
3248,https://islam.zmo.de/s/westafrica/item/3248,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Aplahoué,,"https://www.wikidata.org/wiki/Q2336677 Q2336677",,,Benin,,6.93333,1.68333
3249,https://islam.zmo.de/s/westafrica/item/3249,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,10474,https://islam.zmo.de/files/original/fbba10aef87594e077f70e8bdbc47d2048b1b1f4.png,"Saudi Arabia|Arabie saoudite",,"https://www.wikidata.org/wiki/Q851 Q851",,,Country,,25,45
3250,https://islam.zmo.de/s/westafrica/item/3250,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Athiémé,,"https://www.wikidata.org/wiki/Q60178570 Q60178570",,,Benin,,6.5808,1.6696
3251,https://islam.zmo.de/s/westafrica/item/3251,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Banfora,,"https://www.wikidata.org/wiki/Q639674 Q639674",,,"Burkina Faso",,10.63333,-4.76667
3252,https://islam.zmo.de/s/westafrica/item/3252,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Banikoara,,"https://www.wikidata.org/wiki/Q2200458 Q2200458",,,Benin,,11.33966,2.45915
3253,https://islam.zmo.de/s/westafrica/item/3253,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Bassila,,"https://www.wikidata.org/wiki/Q1893077 Q1893077",,,Benin,,9.00814,1.6654
3254,https://islam.zmo.de/s/westafrica/item/3254,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Bembèrèkè,,"https://www.wikidata.org/wiki/Q2271297 Q2271297",,,Benin,,10.22827,2.66335
3255,https://islam.zmo.de/s/westafrica/item/3255,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,10293,https://islam.zmo.de/files/original/b3ee1b5fcf24609cf2d34ea25cbd9f04752be0b0.png,Benin|Bénin,,"https://www.wikidata.org/wiki/Q962 Q962",,Dahomey,Country,,9.5,2.25
3256,https://islam.zmo.de/s/westafrica/item/3256,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Bobo-Dioulasso,,"https://www.wikidata.org/wiki/Q223761 Q223761",,"Bobo Dioulasso","Burkina Faso",,11.17715,-4.2979
3257,https://islam.zmo.de/s/westafrica/item/3257,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Bogandé,,"https://www.wikidata.org/wiki/Q890373 Q890373",,,"Burkina Faso",,12.9704,-0.14953
3258,https://islam.zmo.de/s/westafrica/item/3258,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Bohicon,,"https://www.wikidata.org/wiki/Q2356092 Q2356092",,,Benin,,7.17826,2.0667
3259,https://islam.zmo.de/s/westafrica/item/3259,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Boromo,,"https://www.wikidata.org/wiki/Q894055 Q894055",,,"Burkina Faso",,11.75,-2.93333
3260,https://islam.zmo.de/s/westafrica/item/3260,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,Boulsa,,"https://www.wikidata.org/wiki/Q895110 Q895110",,,"Burkina Faso",,12.65,-0.567
3261,https://islam.zmo.de/s/westafrica/item/3261,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,Locations,,,"Centre culturel arabe libyen",,"https://www.wikidata.org/wiki/Q116492776 Q116492776","Libya|Muammar Gaddafi",,"Burkina Faso",,,
